academic-plan,program-name,program-acronym,program-year,cricos-code,uac-code,post-nominal,field-of-education,academic-contact,mode-of-delivery,areas-of-interest,academic-career,course-convener,degree-summary__admission-score,degree-summary__requirements-length,degree-summary__requirements-units,introduction,learning-outcomes
BCOMM,Bachelor of Commerce,BCOM,2023,002289F,133003 (B Commerce),,,,,,,,80,"
Length
3 year full-time
","
Minimum
            144 Units
        ","The Bachelor of Commerce offers significant flexibility and diversity for students. The degree allows you to study one or more business areas of your interests, including financial and management accounting, commercial law, economics, finance, business information systems, management, marketing, international business and corporate sustainability.You will acquire the skills and knowledge to meet the challenges of a changing business environment, develop the ability to critically analyse emerging business issues, and be exposed to scholarly research in the national and global business arena. Achieving these academic and professional qualities will lead you to a wide range of business related professions and careers, or progress to more advanced studies.",{'0': 'nil'}
BCRIM,Bachelor of Criminology,BCRIM,2023,078937F,131150 (B Criminology),BCrim,,,,,,,80,"
Length
3 year full-time
","
Minimum
            144 Units
        ","Do you want to delve into an enthralling field that deals with the complexities of crime and responses to crime? Look no further. Our program addresses the causes, politics and management of criminality from a range of disciplinary perspectives. You will develop and understanding of a range of issues in contemporary criminology including definitions and representations of crime, victimization, policing, the criminal justice system, transnational crime, and restorative justice. The ANU Bachelor of Criminology draws attention to the social dimensions of crime and deviancy and assesses the effectiveness and implications of crime control measures.","{'1': '\t\tbetter understand the social conditions, forces and relations influencing crime and deviance, criminal justice system processes, and crime control interventions;', '2': '\t\tdevelop sophisticated analytical techniques and research skills for applied use in the field of criminology and in social research more generally;', '3': '\t\tcritically evaluate theories, concepts and methodological approaches relating to all aspects of contemporary criminological inquiry; and', '4': '\t\tcritically assess criminal justice policies and other social, cultural and legal responses to criminality and crime control from an informed interdisciplinary perspective.'}"
BDESN,Bachelor of Design,BDES,2023,092387C,139103 (Bachelor of Design), ,,,,,,,,"
Length
3 year full-time
","
Minimum
            144 Units
        ","Digital + MaterialInnovation + EngagementCombine cutting-edge digital practices with internationally-renowned art and craft studio disciplines in the Bachelor of Design.Design students will benefit from deep immersion in digital, manual and theoretical studies and a wide overview of creative practices. From coding, to making, to manufacture, students apply hands-on design to digital and physical materials. Students delve into web design, data visualisation, and interaction design, and experiment in studios to develop expertise in the latest digital form and fabrication processes.This degree prepares students with transferable knowledge and skills required to make their mark on a rapidly changing world.","{'1': 'demonstrate skills and knowledge of the practices, languages, forms, materials and technologies in their relevant discipline;', '2': 'research, develop and evaluate design concepts and processes by thinking creatively, critically and reflectively;', '3': 'apply skills and knowledge to the creation, visualisation and production of design projects;', '4': 'work independently and collaboratively on design projects and respond to project demands;', '5': 'interpret, communicate and present ideas, problems and arguments in modes suited to a range of audiences; and', '6': 'recognise and reflect on social, cultural technological, environmental and ethical issues of creative practice and design considering local and international perspectives.'}"
BDEVY,Bachelor of Development Studies (with Year in Asia),BDEVY,2023,099465D,,BDevStYIA,,,In Person,,,,,"
Length
4 year full-time
","
Minimum
            192 Units
        ","This program is only open to students already enrolled in the BDEVS - Bachelor of Development Studies.Want to make positive changes and help the Third World? The ANU Bachelor of Development Studies is the right degree for you.ANU is a leader in the field of Development Studies and has established relationships with Australian and international aid and development organisations.You will gain an inter-disciplinary understanding of theory and practice concerning the processes of development in the Third World, with special competence concerning one or two of four areas: Central Asia and the Middle East, China, Oceania, South and Southeast Asia, together with a solid background in one of the relevant social science disciplines.The Bachelor of Development Studies (with Year in Asia) is the perfect degree to establish yourself as a future leader in the Asian Century. You will combine study at ANU with one year at a university in an Asian location like Beijing, Tokyo, Seoul or Bangkok.Your Year in Asia will build on the strengths of your Bachelor degree. You will develop an advanced level of language proficiency and an exceptional capacity to understand the societies and cultures of our region. You will study with world-class teachers at ANU and then put your learning into practice on the ground in Asia.","{'1': ' Identify the theory and principles of development', '2': '\xa0Analyse the practice of development through multilateral, bilateral, government and non-government agencies.', '3': ' Recall critical development issues in particular regions of the South', '4': ' Engage in one of the social science disciplines or a language other than English', '5': 'Communicate in the target language with fluency and spontaneity making it possible for the student to interact with native speakers in the target language with minimum strain for either party.', '6': 'Accurately understand and summarise the central ideas of texts on both concrete and abstract topics familiar to the student in the target language', '7': 'Confidently discuss abstract and concrete issues related to their disciplinary focus in an academic setting in the target language.', '8': ""Identify, critically analyse and discuss diverse issues relevant to one's study and life with their classmates and beyond in their target language""}"
BECON,Bachelor of Economics,BEC,2023,002290B,134003 (B Economics), ,,,,,,,80,"
Length
3 year full-time
","
Minimum
            144 Units
        ","Why is something as superfluous as diamonds so costly, but something as essential as water so cheap? How can the cost of the coffee beans make up only a few cents of the price of a cup of coffee? With the world’s highest minimum wage rate, can Australia ever compete with low wage countries? The ANU Bachelor of Economics provides a framework and a way of thinking to help answer questions like these. Your coursework will span economics (both theory and applied), economic history, and econometrics while developing your analytical problem-solving and quantitative skills. Whether working as an economist or in some other role, your Bachelor of Economics degree and training will be sought after.","{'1': 'solve economic problems using analytical reasoning;', '2': '\t\tapply economic analysis to a wide variety of economic issues;', '3': '\t\tuse basic empirical estimation techniques to test economic predictions;', '4': '\t\tprovide insight into the way that households and individuals make decisions and interact, and the role of government in providing public goods and regulating the market sector;', '5': '\t\tlearn how to communicate rigorous economic analysis in a coherent way'}"
BENSU,Bachelor of Environment and Sustainability,BENSU,2023,091180D,138201 (B Environment & Sustainability), ,,,,,,,80,"
Length
3 year full-time
","
Minimum
            144 Units
        ","Maintaining the balance between our environment and human development is challenging. The future needs you to work on sustainable solutions to issues including increasing biodiversity loss, urbanisation and climate change.The ANU Bachelor of Environment & Sustainability is a contemporary degree, covering environmental science, policy and social sciences, allowing you to address the complex challenges of sustainability by giving you a broad environmental education.You’ll learn to link perspectives from the natural and social sciences with their applications in your chosen major and minor.Find out more about the Bachelor of Environment & Sustainability, the degree structure, the university experience, career opportunities and student stories on our website. Get the inside story on what it’s like to be an ANU student by visiting our student blog.","{'1': ' Evaluate current understandings of environmental science, natural resource management and sustainability, and of a range of response strategies for sustainable resource management and development.', '2': ' Integrate knowledge from relevant scientific areas and from policy approaches across disciplines into approaches designed to address complex contemporary environment and sustainability issues, in global, national and local contexts.', '3': ' Apply a range of written, oral and visual communication skills to effectively convey and discuss information about environmental science, sustainable development and resource management decisions and relevant policies across discipline', '4': ' Engage with ongoing debates on environmental science, resource management and sustainability issues, recognising the importance of biophysical and socio-political and cultural contexts.'}"
BFINN,Bachelor of Finance,BFIN,2023,039746C,133203 (B Finance),BFin,,,,,,,80,"
Length
3 year full-time
","
Minimum
            144 Units
        ","Do you dream of living and thriving in the leading financial cities of the world - New York, London, Shanghai, Sydney or Hong Kong? Stop dreaming and get going. An ANU Bachelor of Finance will equip you to excel in the global financial marketplace.As a student you will be challenged to solve a variety of financial problems while developing a keen analytical mind. Having these skills will prove invaluable in the fast changing world of finance.As a Bachelor of Finance graduate from the Australian National University you will be highly sought-after, so aim high and think about which cityscape view you want from your office.","{'1': 'Recognise the important role of investment and financing decisions, equities, bonds and derivatives in the financial markets.'}"
BGENE,Bachelor of Genetics,BGEN,2023,064778J,138600 (B Genetics), ,,,,,,,85,"
Length
3 year full-time
","
Minimum
            144 Units
        ","Explore the complex and fascinating world of genetics and unravel the mysteries of DNA with the ANU Bachelor of Genetics.You’ll learn how genes hold our hereditary information, study classical genetics, molecular genetics, population genetics, and bioinformatics. You can even follow interests in areas as diverse as plant genetics, evolutionary genetics or medicine and health.Studying at ANU means you’ll be exposed to ground-breaking research being undertaken by our academics in active research laboratories at the Research School of Biology and the John Curtin School of Medical Research, Australia’s national medical research institute.Find out more about genetics, the degree structure, the university experience, career opportunities and student stories on our website. Get the inside story on what it’s like to be an ANU student by visiting our student blog. This program is not available for Semester 2 commencement.","{'1': 'understand and evaluate the significance of genetic information and discoveries in educational and professional contexts;', '2': 'apply a range of skills and laboratory genetic techniques to addressing specific problems in the field of genetic research;', '3': 'use a range of analytical techniques for the interpretation of genetic data to address specific hypotheses;', '4': 'convey and relate professional and disciplinary information and ideas to diverse audiences in effective and appropriate ways;', '5': 'exercise personal, professional and social responsibility by acting as an interpreter of genetic information in the public domain.'}"
BHLTH,Bachelor of Health Science,BHLTH,2023,094623B,138302 (Bachelor of Health Science), ,,,,,,,85,"
Length
3 year full-time
","
Minimum
            144 Units
        ","Tackle some of the greatest health challenges of our time with the Bachelor of Health Science.The Bachelor of Health Science draws upon the world-leading strengths of ANU in medical education, biomedical science, population health, psychology, social science and public policy to prepare you for a future in medical, allied health and health-related professions.It will equip you with a broad understanding of the themes explored in advanced studies of medicine and offers a potential pathway to the Doctor of Medicine and Surgery at ANU.Find out more about health science, the degree structure, the university experience, career opportunities and student stories on our website.Get the inside story on what it’s like to be an ANU student by visiting our student blog.This program is not available for Semester 2 commencement. Applications for internal degree transfers will not be available for Semester 1, 2023.","{'1': 'Understand the biomedical sciences underpinning the functioning of the healthy body.', '2': 'Understand the determinants of good and poor health including biological, social and economical factors as they apply to Australian and global contexts.', '3': 'Demonstrate an understanding and a commitment to professional ethics, social accountability, and cultural competency.', '4': 'Search, analyse and synthesise information and to propose research questions relevant to biomedical science, population health and public health policy.', '5': 'Succeed in leading and participating in teams to deliver successful health outcomes.'}"
BINBS,Bachelor of International Business,BINTBUS,2023,047472B,133303 (B International Business), ,,,,,,,80,"
Length
3 year full-time
","
Minimum
            144 Units
        ","Your vision is global, not local. You have the potential to lead.You aspire to work with people from around the world, both locally and internationally, in responsible leadership roles in business and management. You’re good at languages and keen to learn more.The Bachelor of International Business will take your strengths and vision as a foundation and help you build the knowledge and capabilities to fulfil your aspirations.You’ll learn how leaders negotiate, resolve conflict, and manage across cultures in a global business world. You’ll get to understand in detail the business environment and how management and marketing work in Asia, Europe, or the Middle East. Finally, you’ll complement this knowledge with world-class language training.","{'1': 'review, analyse, consolidate and synthesise knowledge', '2': 'demonstrate a broad understanding of international business knowledge with depth in some areas', '3': 'present a clear, coherent and independent exposition of international business knowledge and ideas', '4': 'exercise critical thinking and judgement in identifying and solving problems with intellectual independence', '5': 'demonstrate initiative and judgement in planning, problem solving and decision making in professional practice and/or scholarship', '6': 'adapt knowledge and skills in diverse international business contexts', '7': 'demonstrate responsibility and accountability for own learning and professional practice and in collaboration with others within broad parameters'}"
BINSS,Bachelor of International Security Studies,BINSS,2023,082704M,132105 (B International Security Stud),BIntSecSt,,,,,,,85,"
Length
3 year full-time
","
Minimum
            144 Units
        ","Do you see yourself shaping Australia's foreign policy decisions? Or working with elite international organisations like the United Nations or our top spy agencies? The Bachelor of International Security Studies can help you make your dream career a reality.When you study the Bachelor of International Security Studies you will delve deeply into the contemporary security threats facing nations, international organisations and businesses around the world – including the threat of military power, civil war, terrorism, cybercrime, environmental degradation and food security to name just a few. Read more about this degree on our website.","{'1': 'Identify and explain the key concepts, ideas and principal actors in international security.', '2': 'Evaluate the major theoretical frameworks for understanding the complexities of contemporary international security challenges.', '3': '• Demonstrate a thorough knowledge of the historical and contemporary dimensions of international, internal and transnational security, especially in the Asia-Pacific region.', '4': 'Analyse the key challenges facing Australian security and defence policy in the ‘Asian Century’.', '5': 'Reflect critically on the principal factors that determine the security policies of Australia and the major Asia-Pacific powers', '6': 'Employ communication and presentation skills (oral, written and electronic)', '7': 'Demonstrate teamwork and interpersonal skills', '8': 'Exhibit the ability to write for both academic and professional audience'}"
BINSY,Bachelor of International Security Studies (with Year in Asia),BINSY,2023,099466C,,BIntSecStYIA,,,In Person,,,,,"
Length
4 year full-time
","
Minimum
            192 Units
        ","Do you see yourself shaping Australia's foreign policy decisions? Or working with elite international organisations like the United Nations or our top spy agencies? The Bachelor of International Security Studies can help you make your dream career a reality.When you study the Bachelor of International Security Studies you will delve deeply into the contemporary security threats facing nations, international organisations and businesses around the world – including the threat of military power, civil war, terrorism, cybercrime, environmental degradation and food security to name just a few. Read more about this degree on our website. The Bachelor of International Security Studies (with Year in Asia) is the perfect degree to establish yourself as a future leader in the Asian Century. You will combine study at ANU with one year at a university in an Asian location like Beijing, Tokyo, Seoul or Bangkok. Your Year in Asia will build on the strengths of your Bachelor degree. You will develop an advanced level of language proficiency and an exceptional capacity to understand the societies and cultures of our region. You will study with world-class teachers at ANU and then put your learning into practice on the ground in Asia.","{'1': 'Identify and explain the key concepts, ideas and principal actors in international security.', '2': 'Evaluate the major theoretical frameworks for understanding the complexities of contemporary international security challenges.', '3': 'Demonstrate a thorough knowledge of the historical and contemporary dimensions of international, internal and transnational security, especially in the Asia-Pacific region', '4': 'Analyse the key challenges facing Australian security and defence policy in the ‘Asian Century’', '5': 'Reflect critically on the principal factors that determine the security policies of Australia and the major Asia-Pacific powers.', '6': 'Employ communication and presentation skills (oral, written and electronic).', '7': 'Demonstrate teamwork and interpersonal skills.', '8': 'Exhibit the ability to write for both academic and professional audience', '9': 'Communicate in the target language with fluency and spontaneity making it possible for the student to interact with native speakers in the target language with minimum strain for either party.', '10': 'Accurately understand and summarise the central ideas of texts on both concrete and abstract topics familiar to the student in the target language', '11': 'Confidently discuss abstract and concrete issues related to their disciplinary focus in an academic setting in the target language.', '12': ""Identify, critically analyse and discuss diverse issues relevant to one's study and life with their classmates and beyond in their target language""}"
BIR,Bachelor of International Relations,BIR,2023,073992F,131153 (B International Relations), ,,,,,,,85,"
Length
3 year full-time
","
Minimum
            144 Units
        ","Can you see yourself jet-setting the globe with a career in trade, foreign affairs, journalism, international business or research? You have found the right degree.ANU is a leader in the field of International Relations.Our program will introduce you to International Relations, initially via the broad historical and intellectual framework which has framed the modern world of states since the 17th century. It will then concentrate on the 20th century, the age of World Wars and the Cold War, before addressing contemporary issues, the age of global political economy, global culture and communication, global environmental concerns and post-Cold war political conflict, including the 'War on Terror'.With our flexible program you can extend your chosen language subject into a major, and have the opportunity to go on exchange or an international/national internship.","{'1': 'identify the principal theoretical approaches to the study of international relations, and the relationships between them;', '2': 'have a thorough understanding of the historical development of the global system;', '3': 'demonstrate an understanding of the principal actors in contemporary global politics and the challenges they face;', '4': 'understand the principal factors that determine the foreign policies of major powers and of Australia; and', '5': 'reflect critically on the knowledge and skills developed in their study of International Relations.'}"
BIRY,Bachelor of International Relations (With Year in Asia),BIRY,2023,099469M,,BIntReYIA,,,In Person,,,,,"
Length
4 year full-time
","
Minimum
            192 Units
        ","Can you see yourself jet-setting the globe with a career in trade, foreign affairs, journalism, international business or research? You have found the right degree. ANU is a leader in the field of International Relations. Our program will introduce you to International Relations, initially via the broad historical and intellectual framework which has framed the modern world of states since the 17th century. It will then concentrate on the 20th century, the age of World Wars and the Cold War, before addressing contemporary issues, the age of global political economy, global culture and communication, global environmental concerns and post-Cold war political conflict, including the 'War on Terror'. With our flexible program you can extend your chosen language subject into a major, and have the opportunity to go on exchange or an international/national internship.
The Bachelor of International Relations (with Year in Asia) is the perfect degree to establish yourself as a future leader in the Asian Century. You will combine study at ANU with one year at a university in an Asian location like Beijing, Tokyo, Seoul or Bangkok. Your Year in Asia will build on the strengths of your Bachelor degree. You will develop an advanced level of language proficiency and an exceptional capacity to understand the societies and cultures of our region. You will study with world-class teachers at ANU and then put your learning into practice on the ground in Asia","{'1': '\xa0Identify the principal theoretical approaches to the study of international relations, and the relationships between them;', '2': '\xa0Have a thorough understanding of the historical development of the global system;', '3': 'Demonstrate an understanding of the principal actors in contemporary global politics and the challenges they face;', '4': 'Understand the principal factors that determine the foreign policies of major powers and of Australia;', '5': 'Reflect critically on the knowledge and skills developed in their study of International Relations', '6': 'Communicate in the target language with fluency and spontaneity making it possible for the student to interact with native speakers in the target language with minimum strain for either party.', '7': 'Accurately understand and summarise the central ideas of texts on both concrete and abstract topics familiar to the student in the target language', '8': 'Confidently discuss abstract and concrete issues related to their disciplinary focus in an academic setting in the target language.', '9': ""Identify, critically analyse and discuss diverse issues relevant to one's study and life with their classmates and beyond in their target language""}"
BIT,Bachelor of Information Technology,BIT,2023,029996A,136063 (B Information Technology), ,,,,,,,80,"
Length
3 year full-time
","
Minimum
            144 Units
        ","Look around, Information Technology (IT) is everywhere - your TV, laptop, gaming system, mobile phone, watch, music, movies, kitchen, car, bank and your next gig tickets. It is changing the way we live, learn, work and even socialise. If you are interested in driving this exciting revolution, within a truly globalised and fast changing industry, then the ANU Bachelor of Information Technology is for you. You will get a strong grounding in computing fundamentals to tackle the progressive nature of IT. With IT being an intrinsic part of all industries, knowledge of software development and information systems is highly sought after by the best employers. This degree can also be taken as a flexible double with almost any other degree at ANU.","{'1': '\xa0Analyse well defined problems, and design, implement and evaluate solutions that demonstrate an understanding of the systems context in which software is developed and operated including economic, social, historical, sustainability and ethical aspects.', '2': '\xa0Recognise connections and recurring themes, including abstraction and complexity, across the discipline.', '3': '\xa0Adapt to new environments and technologies, and to innovate.', '4': '\xa0Demonstrate an operational understanding of the foundations of computer science including programming, algorithms, logic, architectures and data structures.', '5': '\xa0Communicate complex concepts effectively with diverse audiences using a range of modalities.', '6': '\xa0Work effectively within a team in order to achieve a common goal.', '7': '\xa0Demonstrate commitment to professional conduct and development that recognises the social, legal and ethical implications of their work, to work independently, and self- and peer-assess performance.'}"
BLANG,Bachelor of Languages,BLANG,2023,073988B,131193 (B Languages), ,,,,,,,80,"
Length
3 year full-time
","
Minimum
            144 Units
        ","ANU offers an outstanding variety of programs for Australia's next generation of language leaders, with more languages offered than at any other university in Australia. The ANU Bachelor of Languages is a wonderful way to take advantage of that, through the study of two (or more) languages, in combination with other areas of interest.Your language education experience is designed to engage you with the structural, grammatical and idiomatic components of your chosen language or languages. This is further contextualised using cultural, social and historical concepts, issues and topics. You can start at beginning level, or at higher levels if you have past experience. Exciting opportunities exist for you to immerse yourself in your chosen language and culture through study abroad, and to combine your language study with a range of other areas.","{'1': '\t\tcommunicate proficiently and confidently in at least one language', '2': '\t\tidentify the structure and uses of languages studied', '3': '\t\trecognise and contrast the societies and cultures of the languages chosen, and their socio-historical context', '4': '\t\tconstruct a global schema of the connections between the languages studied and their geographical, social and cultural origins', '5': '\t\trecognise the importance and value of intercultural communication.'}"
BLANY,Bachelor of Languages (with Year in Asia),BLANY,2023,099470G,,BLangYIA,,,In Person,,,,,"
Length
4 year full-time
","
Minimum
            192 Units
        ","ANU offers an outstanding variety of programs for Australia's next generation of language leaders, with more languages offered than at any other university in Australia. The ANU Bachelor of Languages is a wonderful way to take advantage of that, through the study of two (or more) languages, in combination with other areas of interest. Your language education experience is designed to engage you with the structural, grammatical and idiomatic components of your chosen language or languages. This is further contextualised using cultural, social and historical concepts, issues and topics. You can start at beginning level, or at higher levels if you have past experience. Exciting opportunities exist for you to immerse yourself in your chosen language and culture through study abroad, and to combine your language study with a range of other areas.
The Bachelor of Languages (with Year in Asia) is the perfect degree to establish yourself as a future leader in the Asian Century. You will combine study at ANU with one year at a university in an Asian location like Beijing, Tokyo, Seoul or Bangkok. Your Year in Asia will build on the strengths of your Bachelor degree. You will develop an advanced level of language proficiency and an exceptional capacity to understand the societies and cultures of our region. You will study with world-class teachers at ANU and then put your learning into practice on the ground in Asia.","{'1': 'Communicate proficiently and confidently in at least one language', '2': 'Identify the structure and uses of languages studied', '3': 'Recognise and contrast the societies and cultures of the languages chosen, and their socio-historical context', '4': 'Construct a global schema of the connections between the languages studied and their geographical, social and cultural origins', '5': 'Recognise the importance and value of intercultural communication.', '6': 'Communicate in the target language with fluency and spontaneity making it possible for the student to interact with native speakers in the target language with minimum strain for either party.', '7': 'Accurately understand and summarise the central ideas of texts on both concrete and abstract topics familiar to the student in the target language', '8': 'Confidently discuss abstract and concrete issues related to their disciplinary focus in an academic setting in the target language.', '9': ""Identify, critically analyse and discuss diverse issues relevant to one's study and life with their classmates and beyond in their target language""}"
BMASC,Bachelor of Mathematical Sciences,BMATHSCI,2023,086223G,138200 (B Mathematical Sciences), ,,,,,,,90,"
Length
3 year full-time
","
Minimum
            144 Units
        ","Mathematics is at the core of all technological innovations.If you’d like to master quantitative problem-solving, mathematical modelling and critical thinking, this is the degree for you.It is an elite, research-focused program for exceptional students at Australia’s highest-ranked university.Make your mark with maths at ANU: find out more about mathematical studies, the degree structure, the university experience, career opportunities and student stories on our website. Work and learn in both independent and collaborative ways with others to encompass diverse abilities and perspectives.Get the inside story on what it’s like to be an ANU student by visiting our student blog. This program is not available for Semester 2 commencement.","{'1': 'Think clearly, sequentially and logically, as demonstrated by the critical analysis of quantitative problems, such as the ability to read, understand and write mathematical proofs.', '2': 'Demonstrate mastery of the concepts and techniques of Advanced Mathematics.', '3': 'Communicate concepts and results clearly and effectively both in writing and orally.', '4': 'Systematically identify relevant theory and concepts, relate these to appropriate methodologies and evidence, and draw appropriate conclusions.', '5': 'Engage in critical review of appropriate and relevant information sources.', '6': 'Work and learn in both independent and collaborative ways with others to encompass diverse abilities and perspectives.'}"
BMEDS,Bachelor of Medical Science,BMED,2023,036662J,138403 (B Medical Science), ,,,,,,,85,"
Length
3 year full-time
","
Minimum
            144 Units
        ","Follow in the footsteps of Nobel Prize winner Howard Florey and kick-start your career in medical research with the Bachelor of Medical Science.You’ll delve into genetics, immunology, nutrition, physiology, microbiology, biochemistry and anatomy to understand how the human body works.Learn directly from biomedical scientists and health professionals, who are working to develop new cancer vaccines or ground-breaking treatments for autoimmune diseases.Find out more about medical science, the degree structure, the university experience, career opportunities and student stories on our website. Get the inside story on what it’s like to be an ANU student by visiting our student blog. This program is not available for Semester 2 commencement.","{'1': 'develop, apply, integrate and generate scientific knowledge in educational and professional contexts;', '2': 'use a range of skills and methods to identify, analyse and respond to problems and issues;', '3': 'convey and relate professional and disciplinary information and ideas to diverse audiences in effective and appropriate ways;', '4': 'work in both independent and collaborative ways with others to encompass diverse abilities and perspectives; and', '5': 'exercise personal, professional and social responsibility as a global citizen.'}"
BMUSI,Bachelor of Music,BMUS,2023,073990G,139114 (B Music), ,,,,,,,80,"
Length
3 year full-time
","
Minimum
            144 Units
        ","The ANU Bachelor of Music nurtures outstanding musical artistry through the intersection of performance, composition and technology. We believe that discovery lies at the heart of both creativity and excellence. We foster artistry through offering a diversity of musical experiences in an environment that encourages excellence, passion and entrepreneurship.Our program provides students with a unique 21st Century musical experience which includes classical, jazz and contemporary performance, multimedia composition and audio engineering and recording. Students can specialise in one or more of five majors: performance; composition for film and video games, composition, music technology; and musicology.","{'1': 'understand the practices, languages, forms, materials, technologies and techniques of a broad range of musics;', '2': 'demonstrate deep knowledge of and proficiency in one or more areas of musical performance, composition arranging and sound design, musicology, or music technology by applying specialist cognitive and technical skills;', '3': 'evaluate and interpret musical ideas and concepts by engaging with relevant research of others, and thinking creatively, critically, ethically, and independently to solve research questions through words and/or creative practice such as performance or composition;', '4': 'communicate ideas, problems and arguments to do with music and the arts, through words and/or creative practice such as performance or composition, clearly and coherently in modes suited to a range of audiences; and', '5': 'work independently and collaboratively in response to authentic music project demands.'}"
BPAST,Bachelor of Pacific Studies,BPACSTD,2023,075274J,132333 (B Pacific Studies),BPacSt,,,,,,,80,"
Length
3 year full-time
","
Minimum
            144 Units
        ","As Australia’s engagement with the Pacific increases, so too does the need for graduates with Pacific expertise. The Bachelor of Pacific Studies will provide you with a deep understanding of the diversity, history and contemporary issues of Oceania, so you can take a leading role in Pacific policy and development. You will also have the opportunity to engage in internship and immersion programs in Oceania, boosting your language skills and expertise in the region.","{'1': ' Critically apply theoretical frameworks and research techniques to understand the global significance of Oceania as a region of diverse societies, cultures and languages;', '2': ' Demonstrate an understanding of diverse disciplinary approaches and methods drawn from the humanities, social sciences and environmental studies, to synthesize knowledge about Oceania and its place in the\xa0\xa0\xa0 world;', '3': ' Demonstrate a nuanced understanding of the diversity of indigenous, popular culture, policy and scholarly perspectives on and within Oceania;', '4': ' Evaluate knowledge and ideas and debate issues using academic and other approaches addressing a variety of scholarly, policy and public audiences;', '5': ' Exercise critical thinking and judgement in identifying and solving problems individually as well as collaboratively.'}"
BPLSC,Bachelor of Political Science,BPLSC,2023,086219C,131162 (Bachelor of Political Science), ,,,,,,,85,"
Length
3 year full-time
","
Minimum
            144 Units
        ","The Bachelor of Political Science is the only dedicated Political Science degree in Australia. The ANU has some of the world’s finest political scientists, and was the only Australian university to receive a 5 (“well above world class”) in both of the Excellence in Research for Australia’s reports. Located in the national capital, the ANU is the only university with a right to place interns in Australian Parliament House. The Bachelor of Political Science will give you the knowledge, theoretical understandings, and practical skills that underpin a successful career that engages with politics.","{'1': 'apply concepts and theories used in the study of political science to the analysis of interests, ideas, institutions and behaviour and to the evaluation of political phenomena;', '2': 'apply a range of research methods to the investigation of political phenomena;', '3': 'demonstrate understanding of differences in political systems and the contexts in which they operate; and', '4': 'communicate and debate both orally and in writing, and work with others, using a variety of media.'}"
BPPE,"Bachelor of Politics, Philosophy and Economics",BPPE,2023,076183D,"131161 (B Pols, Phil and Economics)", ,,,,,,,94,"
Length
3 year full-time
","
Minimum
            144 Units
        ","Are you a leader? The Australian National University is a leader too, especially in the fields of philosophy, politics and economics. This progressive and well-regarded degree will arm you with the moral, economic and political perspectives you need to make a real impact.You will develop exceptional problem solving skills and critical and conceptual thinking, all while gaining a passport to some of the world’s most promising careers.","{'1': ' major philosophical theories and approaches to the evaluation of social institutions;', '2': ' the methods of economics to the study of political institutions and processes;', '3': ' the methods of economics to questions within political philosophy;', '4': 'the assumptions, ‘tools’ and limitations of political economy; and', '5': ' the core arguments and principles of public choice and rational choice theory.'}"
BPPOL,Bachelor of Public Policy,BPPOL,2023,097615M,131159 (Bachelor of Public Policy), ,,,,,,,85,"
Length
3 year full-time
","
Minimum
            144 Units
        ","Are you seeking a dynamic career in politics, the public service, advocacy organisations, not-for-profit social and community services or private industry?The ANU Bachelor of Public Policy equips you with a comprehensive understanding of Australian public policies and related international policies.This well-regarded education experience includes the Applied Policy Project, in which you will be engaged in an intensive student-led investigation of a policy issue or controversy relevant to your interests. You may also have the opportunity to attend the Australian National Internships Program.Our program is designed to develop the skills and knowledge you need to gather and analyse a range of economic, demographic and social data, to evaluate public policies and programs, and to participate in policy design, advocacy and communication.","{'1': ' demonstrate understanding of differences in political systems and the contexts in which public policy operates;', '2': ' apply concepts and theories used in the study of public policy;', '3': ' apply a range of research methods to the investigation of public policy;', '4': ' gather, analyse, and interpret economic data, social data, and statistics related to Australian public policies; and', '5': ' communicate and debate both orally and in writing, and work with others, using a variety of media.'}"
BSC,Bachelor of Science,BSC,2023,000335K,138003 (B Science),BSc,,,,,,,80,"
Length
3 year full-time
","
Minimum
            144 Units
        ","With a myriad of majors and minors, craft a science degree that is uniquely yours with the ANU Bachelor of Science. You’ll have the opportunity to experiment in our state-of-the-art laboratories while being mentored by leading scientists. You’ll have the flexibility to go on fieldtrips, take your studies overseas, or try an internship. Whether your passion lies in marine science or mathematics, physics or psychology, you’ll be able to explore your interests and follow your passions with our most flexible science degree. Find out more about our science study areas, degree structure, the university experience, career opportunities and student stories on our website . Get the inside story on what it’s like to be an ANU student by visiting our student blog .","{'1': 'develop, apply, integrate and generate scientific knowledge in educational and professional contexts;', '2': 'use a range of skills and methods to identify, analyse and respond to problems and issues;', '3': 'convey and relate professional and disciplinary information and ideas to diverse audiences in effective and appropriate ways;', '4': 'work and learn in both independent and collaborative ways with others to encompass diverse abilities and perspectives;', '5': 'exercise personal, professional and social responsibility as a global citizen.'}"
