major-code,major-name,major-acronym,major-year,areas-of-interest,academic-career,academic-contact,first-owner,degree-summary__requirements-units,introduction,learning-outcomes,requirements
HIND-MAJ,Hindi Language,HIND,2023,"Asian Languages, Asian Studies, Asia Pacific Studies, Language Studies",Undergraduate,Dr Peter Friedlander,,"
Total units
            48 Units
        ","Hindi is the most widely spoken language in India. As one of the world's largest languages, it is used by around half a billion Indians as a mother tongue or second language. The ANU teaches Hindi in a way that balances learning to communicate in Hindi with also promoting the abilities to access the rich cultural resources available in Hindi which range from Hindi literature to the world of Bollywood films. In an era of rapidly increasing connections between India and Australia, knowledge of Hindi also offers the possibility to participate in the growing ties between our two nations, peoples, cultures, and economies. Studying Hindi as a major can also lead to opportunities outside of the classroom through engaging with Hindi-speaking communities in Australia, around the world in the Indian Diaspora, and in India itself. Students in this major are also encouraged to spend time studying in India through advanced level intensive language summer schools.Enquire now >>","{'1': 'Demonstrate an understanding of how the Indian cultural traditions of Hindi speakers impact communication in Hindi and the ways in which the language and culture are linked in discourse in Hindi.', '2': ' Write in Hindi with a full understanding of Hindi grammar and the ways in which different genres of Hindi use different registers of vocabulary drawn from diverse sources. ', '3': ' Engage with media, such as spoken word broadcasts, television and the cinema and analyse the contents and speak and discuss with others their understandings of Hindi media. ', '4': ' Read, understand and discuss Hindi texts such as newspapers, magazines, and modern Hindi literary texts. ', '5': ""Express themselves confidently in spoken and written Hindi in informal and formal registers of the language that reflect Hindi's shared heritage of vocabularies drawn from Sanskrit and Urdu.""}",Requirements
HIST-MAJ,History,HIST,2023,History,Undergraduate,Dr Alexander Cook,,"
Total units
            48 Units
        ","Everything has a history. From a national constitution to modern consumer culture, from the rise of empires to environmental crises, from the human species to your family, history teaches you about the forces that have made the world in which you live. It helps you to understand the present by understanding its past.The ANU is a national leader in History and offers a wide range of courses covering Australia, America, Asia and Europe. Courses trace themes such as empire, terrorism, revolution, war, gender, race, technology and the environment. Some focus on philosophies that underlie historical analysis or techniques of historical research. History is a core discipline in the humanities and social sciences. It gives students knowledge and skills that are valued in any professional context. Our students successfully pursue careers in journalism, management, politics, policy, museums, diplomacy, teaching, academia and many other fields.","{'1': 'demonstrate understanding of multiple periods or cultures of the past;', '2': 'demonstrate understanding of key conceptual approaches to interpreting the past;', '3': 'examine historical issues by undertaking research, and analysing evidence, according to the methodological and ethical conventions of the discipline;', '4': 'construct an evidence-based argument or narrative in audio, digital, oral, visual or written form; and', '5': 'identify and reflect critically on the knowledge and skills developed in their study of History and their relationship to the contemporary world.'}",Requirements
HMRT-MAJ,Human Rights ,HMRT,2023,Human Rights,Undergraduate,Dr Dongwook Kim,,"
Total units
            48 Units
        ","This major introduces students to the theoretical frameworks, policy instruments, and cutting-edge debates in the field of international human rights. It helps students understand the evolution of human rights in its philosophical, historical, and political contexts, various policy tools and actors for the promotion and protection of human rights, the interplay between human rights theory and practice, and important country cases around the globe. This major is designed to provide students with a robust understanding of key issues relating to the study of human rights in the contemporary world.","{'1': 'identify, discuss and analyse the key moments, issues and debates in the emergence of the contested concept of human rights;', '2': 'identify and appraise the differing applications\n  of human rights in theory, law and practice;', '3': 'explain and assess the major contemporary\n  theoretical debates within the human rights discourse; and', '4': 'recognise and assess the intersection between theories of human rights and the application of human rights standards in practice.'}",Requirements
HUEB-MAJ,Human Evolutionary Biology,HUEB,2023,Biological Anthropology,Undergraduate,Dr Alison Behie,,"
Total units
            48 Units
        ","Humans are as much a part of the natural world as plants and animals, and a full understanding of our anatomy, physiology and behaviour thus requires a deep appreciation of evolutionary principles. This major aims to provide that level of understanding by exploring human evolutionary history, a story spanning the last seven million years, and its relevance for humans today. Students in this major will strive to answer questions such as: How have evolutionary forces shaped the origin and maintenance of human adaptations? How are humans like other animals? What makes humans unique? And What evolutionary processes led to this uniqueness?","{'1': 'explain the processes of natural selection, adaptation and speciation that underpin the evolution of animals and humans;', '2': 'explain the characteristics of humans, including intelligence, language, culture, morphology and behaviour, and place those in the context of our place in the animal kingdom;', '3': 'interpret and discuss hypotheses as to how and why uniquely human adaptations initially evolve; and', '4': 'critically evaluate and propose hypotheses about the future directions of human evolution on the basis of existing evolutionary theory and the selective factors acting on humans.'}",Requirements
ICOM-MAJ,International Communication,ICOM,2023,International Relations,Undergraduate,Dr Ksenia Gnevsheva,,"
Total units
            48 Units
        ","In the contemporary globalised world, where the tempo and intensity of international contacts are continually strengthening, international communication has become increasingly crucial. This interdisciplinary major is intended to help students understand cross-cultural and cross-linguistic issues involved in international communication and a working knowledge of another language.International communication is inseparable from intercultural communication - in the era of 'global English' more than ever, since one 'international English' can conceal deep differences in cultural assumptions and understandings. This major will introduce students to issues involved in interaction between speakers from different language backgrounds and equip them with conceptual tools to explore those issues.","{'1': 'demonstrate an understanding of the nature of the complex and multifaceted relations between communication, culture, language and identity;', '2': 'demonstrate an understanding of the limits of translatability of key concepts across languages, and the implications of these limits for international communication;', '3': 'analyse cultural assumptions underlying expressions such as â€œthe ideals of freedom, democracy, and the rule of laws (Obama 2006: p. 284) and explain their linguistic underpinnings;', '4': 'explain the sources of miscommunication between speakers of different linguistic and cultural backgrounds who communicate using English as a lingua franca;', '5': 'demonstrate an understanding of potential sources of miscommunication within multilingual and multi-cultural societies such as Australia; and', '6': 'communicate effectively in another language in many contexts and understand the issues that can arise in international communication due to linguistic differences.'}",Requirements
INDN-MAJ,Indonesian Language,INDN,2023,"Asian Languages, Asian Studies, Asia Pacific Studies, Language Studies, Asia-Pacific Studies",Undergraduate,Prof I Wayan Arka,,"
Total units
            48 Units
        ","This major develops students' ability to communicate in a culturally and socially appropriate manner in Indonesian—the national language of Australia's close neighbour, and a language with well over 200 million speakers. The major emphasises the importance of cultural as well as linguistic fluency from the introductory level onwards and stresses the functional and situational use of the language in everyday life. Not only will students be able to converse on topics of relevance and interest to Indonesian speakers, but they will be able to read and write the language as it appears in the media and in literature.Students in this minor are encouraged to study Indonesian through immersive programs, which can be done through intensive study in the summer or winter breaks. Competitive scholarships are available to qualified students. Competitive scholarships are available to qualified students.Studying IndonesianEnquire now >>","{'1': ' Recogniseand produce the full set of standard Indonesian phonemes and use patterns ofstress and intonation.', '2': ' Recogniseand produce phrase and sentence structures that enable them to converse andwrite extended passages on a wide range of non-technical topics, and to read arange of authentic print media texts with sparing use of a dictionary.', '3': ' Use anactive vocabulary of around 2500 words. ', '4': ' Converse andwrite on a wide range of everyday topics as well as in contexts such asdiscussion of marriage laws, forest conservation, urbanisation, languagepolitics, and economic disparity.', '5': ' Demonstratea cultural understanding of Indonesian perceptions or practices regarding suchtopics as: de facto relationships, punishment for drug offences, internalmigration, language prestige and language choice, and working abroad.'}",Requirements
INDS-MAJ,Indian and South Asian Studies,INDS,2023,"Anthropology, Cultural Studies, History, Asian Studies, Literature",Undergraduate,Dr Stephanie Majcher,,"
Total units
            48 Units
        ","This major brings alive the social, cultural and political debates that have defined India and its neighbours in the region known as South Asia. Indians constitute the second largest migrant group in Australia, and strategic partnerships and economic ties between Australia and India are growing. An understanding of India and its neighbours is thus a valuable asset for students seeking to understand these connections and to pursue careers in diverse fields, including business, government, the arts, and other sectors. This major examines Indian political institutions and the rise of Indian democracy, ongoing questions of poverty, development and violence, the transformative influences of technology, the role of the diaspora, and the vibrant cultural traditions and innovations from India and its region that have inspired the world. The study of India, Pakistan, Bangladesh, Sri Lanka, and other parts of South Asia will give students unique insight into a part of Asia that is emerging as a crucial force in the 21st Century.The Indian and South Asian Studies major is designed to complement the Hindi and Sanskrit language majors, though knowledge of these languages is not required for courses in the Indian and South Asian Studies major","{'1': 'Understand and evaluate historical and current events and developments that have shaped the South Asian subcontinent and contemporary India.', '2': 'Identify and critique the contemporary socio-cultural and political systems of India.', '3': 'Analyse the global significance of events and developments in India and across the region.', '4': 'Understand the processes and disciplinary approaches through which current knowledge about Indian and South Asian Studies has developed.\xa0', '5': ""Effectively argue and communicate about issues of regional cooperation and unity in the context of tensions in and among South Asia's diverse traditions.""}",Requirements
INFS-MAJ,Information Systems,INFS,2023,"Business Information Systems, Management, Bioinformatics, Computer Science, Information Technology",Undergraduate,,,"
Total units
            48 Units
        ","The Information Systems major integrates conceptual and practical skills related to the creation, flow and usage of information within organisations. Students develop an understanding of organisations, and the knowledge and skills required for systems analysis and design, and to manage organisational computer systems applications, preparing them to pursue a professional career in the Information Technology industry.",{'0': 'nil'},Requirements
,,,,,,,,,,{'0': 'nil'},
INSC-MAJ,Interdisciplinary Science,INSC,2023,,Undergraduate,,,"
Total units
            48 Units
        ",Description:This major is intended for students who wish to maintain a more interdisciplinary approach to their studies. It permits students to study across all disciplines of science and to include some of the cognate science courses from other Colleges.This major is an exit strategy for students who fail to meet the requirements for any other major but have met the overall degree requirements.,{'0': 'nil'},Requirements
INST-MAJ,Indonesian Studies,INST,2023,"Anthropology, Cultural Studies, History, Asian Studies, Asia Pacific Studies",Undergraduate,Dr Ross Tapsell,,"
Total units
            48 Units
        ","Indonesia is one of the world’s fourth most populous nation, with over 250 million people spread over 17,000 islands. It the world’s most populous Muslim nation and its third largest democracy, the biggest exporter of a number of commodities, and has some of the world’s most ubiquitous usage of digital media. Indonesia is often described as Australia’s most important neighbour, and Australian scholarship on Indonesia is regarded as the best in the world. The major provides a well-integrated training, keeping a good balance in the scope of study between the past history and present challenges, as well as in terms of analytical approaches drawn from the humanities and the social sciences. Training in this major will significantly enhance qualifications and opportunities for employment in a wide range of fields, such as NGOs and development, media, education, government offices, or business and commerce. Successful completion of the major will also provide students a solid foundation for further research work in a higher degree programs. The major provides a depth of understanding of the diverse and vibrant, yet vast and complex Indonesian society, politics and culture. The Indonesian studies major is designed to complement the Indonesian language major, though knowledge of the Indonesian language is not required for courses in the Indonesian studies major.","{'1': ' Understand and evaluate historical and current events and developments that have shaped Indonesia,  ', '2': ' Identify and critique the contemporary socio-cultural and political systems of Indonesia,  ', '3': ' Analyse developments in Indonesia in their regional and global contexts,  ', '4': ' Understand the processes and disciplinary approaches through which current knowledge about Indonesian studies has developed.'}",Requirements
INSY-MAJ,Intelligent Systems,INSY,2023,,Undergraduate,,,"
Total units
            48 Units
        ","This Major is incompatible with the Computing and Mathematical Foundations minor; Advanced Intelligent Systems major; Artificial Intelligence (UG) Specialization; and Machine Learning (UG) Specialization.The Intelligent Systems major offers courses on a wide range of relevant topics. Depending on the chosen courses, students will learn about Artificial Intelligence (AI) search, optimisation, reasoning, planning, diagnosis, machine learning, intelligent agents (reinforcement learning, information-theoretic foundations), and bio-inspired computing (neural networks, and evolutionary algorithms).",{'0': 'nil'},Requirements
INTB-MAJ,International Business,INTB,2023,"Commerce, International Business, Management, Business Administration",Undergraduate,Dr Alexander Richardson,,"
Total units
            48 Units
        ","The major in International Business incorporates a range of disciplines to analyse the principal issues and considerations in the growth and functioning of international businesses. Students are introduced to important concepts and practices in analysing the international business environment, and in operating and growing international businesses. The core courses in the major aim to develop skills and competencies in international business relating to the international business environment, as well as strategic management, societal business systems, marketing and human resource management in an international business context. Depending on the electives chosen, students have the option of developing their understanding of specific societal business systems, as well as developing their understanding of cross-cultural, supply chain and human resource management issues in an international business context.Application of knowledge and skillsGraduates with a major in International Business will demonstrate the application of international business knowledge and skills:with initiative and judgement in planning, problem solving and decision making in professional practice and/or scholarship;to adapt knowledge and skills in diverse contexts; and,with responsibility and accountability for own learning and professional practice and in collaboration with others within broad parameters.","{'1': 'Review, analyse, consolidate and synthesise international business knowledge;', '2': 'Demonstrate a broad understanding of international business knowledge with depth in some areas;', '3': 'Exercise critical thinking and judgement in identifying and solving problems with intellectual independence;', '4': 'Present a clear, coherent and independent exposition of international business knowledge and ideas.'}",Requirements
IREL-MAJ,International Relations,IREL,2023,International Relations,Undergraduate,Dr Dong Wook Kim,,"
Total units
            48 Units
        ","The study of International Relations has traditionally focused upon the (often hostile) engagements between nation-states and/or their diplomatic elites seeking to advance the national interest by war or other means. These are still important themes in the contemporary IR agenda. However, at the beginning of the 21st century analysts and policymakers require a more comprehensive body of knowledge and deeper understanding of the world and how it operates. This major is designed to provide students with such knowledge and understanding in regard to both traditional and more recent agendas.","{'1': 'identify the core concepts and theories that dominate global politics in the 21st century;', '2': 'have a thorough understanding of the historical development of the global system;', '3': 'examine the contemporary challenges facing the global system and evaluate the policies implemented to address them;', '4': 'identify the role that people, states, ideas, and institutions play in shaping the international political economy;', '5': ""understand Australia's role in global politics; and"", '6': 'reflect critically on the knowledge and skills developed in their study of International Relations.'}",Requirements
ISCK-MAJ,Indigenous Science and Knowledges,ISCK,2023,"Indigenous Australian Studies, Science",Undergraduate,Mr Sam Provost,,"
Total units
            48 Units
        ","Indigenous knowledge systems consist of complex webs of social-cultural interaction, developed through relationships among communities and within their landscapes. The Indigenous Science and Knowledges major is designed to provide students with an understanding of Indigenous approaches to science, developing the skills required to work alongside Indigenous peoples. Taking a holistic approach, the major promotes the application of Indigenous epistemologies to the complex problems of the past, present and future. The major in Indigenous Science and Knowledges allows students to explore Indigenous science and knowledges across a range of science fields. The foundational courses in this major will prepare students to engage with Indigenous perspectives in the sciences before undertaking a major project in their area of interest. In line with Indigenous understandings of science and knowledge production, students are encouraged to explore courses that are relevant to their areas of interest in the sciences.","{'1': 'Demonstrate an understanding of Australian and global Indigenous history and culture, policies pertaining to Indigenous peoples, and the application of Indigenous knowledges in a scientific context.', '2': 'Demonstrate an understanding of the importance of protocols for protecting Indigenous knowledges in the sciences and how to build these into project and research design.', '3': 'Articulate key approaches for meaningful and reciprocal engagement with Indigenous peoples and communities through the development of cultural awareness and sensitivity.', '4': 'Critically examine the relationship between Indigenous knowledges and modern science, including their similarities and differences.'}",Requirements
ITAL-MAJ,Italian Language and Culture,ITAL,2023,European Languages,Undergraduate,Dr Francesco Ricatti,,"
Total units
            48 Units
        ","The Italian Language & Culture major provides students with a high level of competence in the Italian language as well as a critical understanding of cultural, social and historical aspects of Italy. Language learning is integrated with the development of cultural awareness, and students have the opportunity to explore such areas as Italian sociolinguistics, cinema, music, gender studies, postcolonial, migration and women's literature. Students are encouraged to spend a semester studying abroad, taking advantage of exchange agreements with partner universities in Italy. Students with existing knowledge of Italian can begin at a more advanced level, and the exact sequence of courses depends on the level at which the student begins the major.","{'1': 'communicate proficiently and confidently in Italian;', '2': 'identify the structure and uses of Italian;', '3': 'demonstrate an understanding of the cultural and linguistics aspects of\n Italian language and societies and their socio-historical context;', '4': 'construct a schema of the connections between the Italian language and\n its geographical, social and cultural origins; and', '5': 'recognise the importance of intercultural communication.'}",Requirements
JPLN-MAJ,Japanese Linguistics,JPLN,2023,"Asian Languages, Linguistics and Applied Linguistics, Asian Studies, Language Studies, Linguistics",Undergraduate,AsPr Duck-Young Lee,,"
Total units
            48 Units
        ","DescriptionJapanese Linguistics covers all aspects of linguistics as they pertain to the Japanese language—from issues in phonetics, phonology, and syntax to sociolinguistics, the history of the Japanese language and its teaching as a foreign language. A Japanese linguistics major provides students with a solid foundation upon which to develop interests in the Japanese language, its use and its structure. The Japanese linguistics major is designed to complement the Japanese language major. Knowledge of the Japanese language is required for some but not all courses in the Japanese linguistics major. Students are expected to have some familiarity with the Japanese language to be able to complete the major.","{'1': 'Collect, organize and analyze linguistic dataUnderstand and analyze the link between language\xa0and various dimensions of culture.', '2': 'Understand the social functions of language and\xa0the roles they play in culture.', '3': 'Form hypotheses about Japanese language\xa0structure/language use and test those hypotheses against new data.', '4': 'Demonstrate a deep understanding of processes of\xa0language change and variation, and the role of language in reflecting and\xa0constructing social identities.', '5': 'Demonstrate a knowledge if issues in Japanese\xa0language policy and be able to take a role in the discussion of such\xa0issues'}",Requirements
JPNS-MAJ,Japanese Language,JPNS,2023,"Asian Languages, Asian Studies, Asia Pacific Studies, Language Studies, Asia-Pacific Studies",Undergraduate,Dr Toshiyuki Nakamura,,"
Total units
            48 Units
        ","Japanese is the national language of Japan, a nation that is not only one of Australia's major trading partners, but is also a country with which many young Australians have deep personal ties. Japanese is a popular foreign language in Australian schools and universities and the depth of the ties between Australia and Japan mean that knowledge of the language will be a valuable asset for many years to come. Studying Japanese as a major has many linguistic and cultural benefits that reach well beyond the classroom. In today’s globalised world a strong understanding of Asia, and Japan as one of our most important bilateral partners, is vital. Employers across business, government, the arts and various sectors actively recruit graduates who can demonstrate knowledge of and experience in Japan. Students in this major are encouraged to spend time studying at one of the twenty-plus tertiary institutions in Japan with which the ANU has ties. This can be done either through intensive in-country study in the summer break, through the Semester in Japan program, or through a year of study in Japan on the Year in Asia program. Competitive scholarships are available to qualified students. https://www.youtube.com/watch?v=31Bkny69pBo","{'1': 'Express themselves confidently  both verbally and in writing in modern Japanese in a variety of settings.', '2': 'Recognise and use a broad vocabulary of over 1000 kanji characters and relevant expressions.\xa0', '3': '\tDemonstrate independent reading and listening skills to engage with real-world materials with the aid of a dictionary.\xa0', '4': '\tDemonstrate the appropriate linguistic skills to respond spontaneously in both speaking and writing to contemporary issues, to state opinions, compose formal essays, and make presentations at a sophisticated level.\xa0', '5': '\tConfidently use polite, neutral or informal registers, appropriate to the genre and the audience.\xa0', '6': ""Demonstrate an understanding of socio-cultural issues in past and present Japanese society, including such topics as gender issues, social structures, consumer societies, traditional arts and crafts, and Japan's position in the world.\xa0""}",Requirements
JPST-MAJ,Japanese Studies,JPST,2023,"Cultural Studies, History, International Relations, Asian Studies, Asia Pacific Studies",Undergraduate,AsPr Simon Avenell,,"
Total units
            48 Units
        ","DescriptionA Japanese studies major has many benefits in today’s globalised world and the Asian Century. As one of Australia’s key trading partners, private and public sector employers actively recruit ANU graduates with detailed knowledge of and experience in Japan. This major provides students with a nuanced understanding of the historical, political and cultural forces that have shaped the development and current state of modern Japan. Armed with this understanding students will be able to engage meaningfully with the culture, society and people while helping to bridge the divides separating Japan and Australia.Though designed to complement the Japanese language major, knowledge of the Japanese language is not required for the Japanese studies major.","{'1': '\xa0\xa0\xa0\xa0 Understand and evaluate historical and current events and developments that have shaped Japan,', '2': '\xa0\xa0\xa0\xa0 Identify and critique the contemporary socio-cultural and political systems of Japan,', '3': '\xa0\xa0\xa0\xa0 Analyse developments in Japan in their regional and global contexts, ', '4': '\xa0\xa0\xa0\xa0 Understand the processes and disciplinary approaches through which current knowledge about Japanese studies has developed. '}",Requirements
KORE-MAJ,Korean Language,KORE,2023,"Asian Languages, Translation Studies, Asian Studies, Asia Pacific Studies, Language Studies",Undergraduate,Dr Eun Seon Kim,,"
Total units
            48 Units
        ","Korean is the official language of North and South Korea and is spoken by Korean communities around the world; altogether more than 80 million people worldwide speak Korean. Korean is distinguished by a unique indigenous alphabet developed in the fifteenth century by the sage King Sejong. Sophisticated yet easy to learn, the Korean alphabet, or Hangeul, is widely known as “the beautiful script”. At ANU, Korean is taught in a way that balances learning to communicate with developing student’s ability to access the rich cultural resources available in Korean literature, film, culture and society.The study of Korean gives students unique access to South and North Korea and in depth knowledge of their cultures, histories and social change over time. In an era of rapidly increasing connections between Korea and Australia, knowledge of Korean offers students the possibility to participate in the growing ties between these countries. Studying Korean as a major can also lead to opportunities outside the classroom and students are encouraged to spend time studying in South Korea through a variety of in-country courses including semester and year abroad options.Enquire now >>","{'1': '\tRecognise and pronounce all consonants and vowel sounds of Korean.', '2': '\tRead and write the Korean alphabet and its consonant clusters with accuracy.\xa0', '3': '\tSummarise, analyse, and evaluate texts, with limited use of a dictionary, in such authentic media as television and print news, magazines, films, and literature. \xa0', '4': ""Express ideas using grammatically and stylistically appropriate language to the situation to give explanations, make academic presentations, evaluate other's opinions, and confidently engage in debates.\xa0"", '5': '\tCommunicate confidently in speech and writing, in polite, neutral or informal registers, on such topics as interpersonal relationships, cultural events, popular culture, politics and history.', '6': '\tDemonstrate an understanding of cultural practices such as national festivals, customs and folk traditions; cultural and linguistic regional differences in Korea; cultural communication practices in interpersonal relationships in formal and informal settings.\xa0'}",Requirements
KORS-MAJ,Korean Studies,KORS,2023,"Anthropology, Cultural Studies, Gender Studies, History, Asian Studies",Undergraduate,AsPr Ruth Barraclough,,"
Total units
            48 Units
        ","Korea has a long history with a rich cultural heritage and dynamic political and socioeconomic changes. Situated at the crossroads of East Asia, Korea has played a significant role in shaping pre-modern and modern transformations within the region and beyond. The division of the Korean peninsula into North and South Korea since 1945 has made Korea as a strategically important player in the politics of the Cold War whose impact still remains significant in driving geopolitical and security issues. The Korean Studies major provides students with a solid foundation for developing a sophisticated understanding of the dynamics that have shaped Korea and its relationship to the world. The major consists of a wide range of courses on history, politics, society and culture, offering an interdisciplinary and transnational perspective. Students will gain nuanced understanding of the past and the present of the peninsula and great insights into current affairs related to North and South Korea.The Korean Studies major is designed to complement Korean language major, though knowledge of Korean is not required for courses in the Korea Studies major.","{'1': ' Understand and evaluate historical and current events and developments that have shaped Korea, ', '2': ' Identify and critique the contemporary socio-cultural and political systems of Korea, ', '3': ' Analyse developments in Korea in their regional and global contexts, ', '4': ' Understand the processes and disciplinary approaches through which current knowledge about Korean studies has developed.'}",Requirements
,,,,,,,,,,{'0': 'nil'},
LATN-MAJ,Latin,LATN,2023,Latin,Undergraduate,,,"
Total units
            48 Units
        ","The study of Latin is a rewarding one. A Latin major introduces the principles of the language (grammar, vocabulary, syntax) and develops reading skills so that you engage closely with the Latin texts. The courses we offer give you a unique opportunity to read in the original language the literature, history, and philosophy of the Roman world. From your engagement with the past through its language and literature you will gain a richer understanding not only of that world but also of contemporary society. Proficiency in Latin is highly recommended also for those wishing to specialize in Ancient Greek or Roman history and civilization.","{'1': 'consolidate and extend your command of Latin grammar and vocabulary;\n  to enable you to increase your ability to read Latin with pleasure and\n  understanding: some texts at sight, any texts with the aid of dictionaries,\n  grammars, translations, and textual notes;', '2': 'develop skills in reading Latin from the study of simplified texts to\n  focussed examination of foundational texts of the Greco-Roman world;', '3': 'study these texts against their historical and cultural background; and', '4': 'promote approaches and methodologies for critical thinking not only\n  about the ancient sources but also the discourse of our own world.'}",Requirements
LING-MAJ,Linguistics,LING,2023,"Asian Languages, European Languages, Indigenous Australian Studies, Linguistics and Applied Linguistics",Undergraduate,Dr Ksenia Gnevsheva,,"
Total units
            48 Units
        ","Linguistics is the study of human language: how we use languages to communicate, how languages vary and change over time, how meanings are expressed, how children and adults acquire language, and how communication differs across communities. In this major, you will learn about branches of linguistics, including sound systems (phonetics and phonology), word and sentence structure (morphology and syntax), conversation and text structure (discourse), meaning (semantics), language use in society (sociolinguistics), language in education, health care and the law. You will carry out detailed analysis of linguistic data from a variety of languages, with a particular emphasis on the Indigenous languages of Australia and the Pacific region. The study of human language blends both scientific and humanistic approaches to building knowledge, and you will experience a wide range of analytic methods and theories. As language assumes ever greater importance in an interconnected, multilingual world, while remaining one of the last enigmatic frontiers for fields like natural language processing, the study of linguistics is relevant to an ever-wider range of career options.","{'1': 'demonstrate a depth and breadth of insight\xa0into the relationship between language, society and culture, and into the role of language in human sociality;', '2': 'carry out analysis of the linguistic systems of diverse languages, including the capacity for rigorous, in-depth analysis in at least\xa0two\xa0sub-disciplines of linguistics;', '3': 'use a range of linguistic methods\xa0and theories to investigate how language is used in different contexts, and how it varies across people, places and times;', '4': 'critically examine beliefs and ideologies about language use and language diversity;', '5': 'identify challenges or issues in current knowledge, theories and/or methods of at least one area of linguistics; and', '6': 'communicate clearly and knowledgeably about language-related topics to academic and general audiences.'}",Requirements
MARK-MAJ,Marketing,MARK,2023,"Commerce, Marketing, Sustainability, Business Administration",Undergraduate,Dr Alexander Richardson,,"
Total units
            48 Units
        ","The major in Marketing combines aspects of economics, commerce, psychology, sociology and statistical analysis in the assessment of market behaviour and the development of appropriate business responses.Application of knowledge and skillsGraduates with a marketing major will demonstrate the application of knowledge and skills:with judgment, planning, and problem solving in scholarship, practice;to adapt marketing knowledge, solve marketing problems, and apply appropriate decision making techniques; and,to seek further marketing learning and insight through their own learning and professional practice, and professional development.","{'1': 'Demonstrate knowledge of fundamental marketing concepts, theories and their applications with cognitive insight, technical analysis, creativity and strategic thinking', '2': 'Apply critical and analytical thinking through marketing knowledge to address marketing problems through evidence led decisions based on conceptual frameworks, market data and statistical analysis', '3': 'Present concise and coherent exposition of discipline based marketing knowledge and skills', '4': 'Convey marketing ideas in an appropriate language for business, stakeholders, and the wider public audiences\xa0'}",Requirements
MARS-MAJ,Marine Science,MARS,2023,"Earth and Marine Sciences, Chemistry, Physics, Biology",Undergraduate,Dr Michael Ellwood,,"
Total units
            48 Units
        ","Marine ecosystems play a central role in the health and function of our planet. Given the increasing exploitation and modification by humankind, there is an urgent need for us to study and understand marine systems if management strategies are to succeed.The Marine Science major is a multidisciplinary science program at the ANU that encompasses many fields, in particular, biology, chemistry, geology and physics, with an emphasis on understanding the coastal and open ocean environment through field, laboratory and modelling approaches.This program aims at equipping students with the tools to understand and monitor coastal and oceanic processes and interactions between the atmosphere, biosphere and geosphere under an ever changing climate that may affect marine resources. A major in Marine Sciences opens up possibilities for work in government agencies and science education. It serves as a pathway to higher degree research at Australian or overseas universities.","{'1': 'Overview the advancement of the discipline and how that has influenced modern Marine Science.', '2': 'Have an understanding of the evolution of the oceans, and the organisms contained within, from a molecular to the global scale.', '3': 'Quantitatively analyse marine environments using a variety of observations and techniques.', '4': 'Draw on diverse learning environments including field, laboratory and classroom settings encompassing individual and group learning.', '5': 'Perform process-oriented, multidisciplinary studies to critically evaluate hypotheses and models on how our oceans and the life within operate.', '6': 'Write scientific reports and communicate efficiently with university staff, peer students and the wider community on Marine Science topics.', '7': 'Conduct themselves in a way that reflects professional expectations within the discipline.'}",Requirements
MATH-MAJ,Mathematics,MATH,2023,Mathematics,Undergraduate,,,"
Total units
            48 Units
        ","Description:Mathematics is the study of universal patterns and structures; it is the quantitative language of the world; it underpins information technology, computer science, engineering, and the physical sciences; and it plays an increasingly important role in the biological and medical sciences, economics, finance, environmental science, sociology and psychology.The Mathematics major is designed to provide a foundation in Calculus, Linear Algebra and basic modelling techniques using differential equations. In parallel, critical thinking will be developed through the analysis of quantitative problems. With this background students will be ready to pursue their interests in a broad range of mathematical areas, by choosing appropriate later year courses in pure or applied mathematics areas, or a combination of these. These later year courses reinforce and extend the students' quantitative skills as well as providing a greater awareness of the many branches of mathematics and of the interconnections among them.Students with a good background in mathematics have many more options in terms of career possibilities, and are highly sought after for postgraduate study in almost every quantitative field. As commented by Ross Gittins, economics editor, Sydney Morning Herald, ""Employers set a lot of store by mathematical ability and are more likely to hire someone with a good background in mathematics"".Learning Goals:Students who have completed the Mathematics major will be able to:Demonstrate mastery of the ideas, concepts and techniques of Calculus, Linear Algebra and Differential Equations.Identify the mathematics required to solve applied problems.Read, understand and write mathematical proofs.Solve non-routine mathematical problems by translating ideas into a precise mathematical formulation.Think clearly, sequentially and logically, as demonstrated by the critical analysis of quantitative problems.Appreciate that mathematics is embedded in everyday life through its influence in fields, such as the physical, biological, medical, social and economical sciences.Demonstrate awareness of the many branches of mathematics and of the interconnections among them.Demonstrate a deeper understanding of a branch of advanced mathematics.Draw on discipline based experiences of working collaboratively, communicating mathematical knowledge and acting professionally and responsibility in further study, or professional pursuits.Recognise the importance of continuing professional development and be able to extend knowledge of mathematics through independent reading and learning.",{'0': 'nil'},Requirements
