major-code,learning-outcomes-id,learning-outcomes
GDAR-MAJ,4,"interpret, communicate and present ideas, problems and arguments in modes suited to a range of audiences."
GDAR-MAJ,5,"recognise
 and reflect on social, ethical, cultural, technological, and 
environmental issues of creative practice and design considering local 
and international perspectives."
GDAR-MAJ,6,identify and apply occupational health and safety principles within a workshop environment.
GEND-MAJ,1,"analyse, evaluate and apply contemporary theories of gender, sexuality, culture;"
GEND-MAJ,2,use the conceptual vocabulary of gender and cultural studies to analyse contemporary issues and problems;
GEND-MAJ,3,"use the methods of gender and cultural studies to analyse the way gender and sexuality are produced in culture, including written and visual texts;"
GEND-MAJ,4,"identify and understand interdisciplinary approaches to gender, sexuality and culture;"
GEND-MAJ,5,communicate complex ideas in speech and writing; and
GEND-MAJ,6,"reflect critically on the knowledge and skills developed in their study of Gender, Sexuality and Culture."
GEOG-MAJ,1,Evaluate current geographic approaches to investigating a range of environment and sustainability issues and management strategies in international and Australian contexts.
GEOG-MAJ,2,Integrate knowledge relevant to geographical science and policy across disciplines.
GEOG-MAJ,3,"Apply a range of written, oral and visual communication skills to effectively convey and discuss information about geographical science and policy in multidisciplinary contexts, and"
GEOG-MAJ,4,"Engage with current environment and sustainability policy debates, recognising the socio-political and cultural contexts in which they occur."
GERM-MAJ,1,"express viewpoints and develop arguments confidently in German, incorporating some complex sentence structures. Students can expect to achieve approximately the B2 level or higher of the CEFR (Common European Framework of Reference for Languages);"
GERM-MAJ,2,"use the language for academic purposes, e.g. essay writing with referencing, class presentations, and research related to the German language and associated cultures;"
GERM-MAJ,3,"read, understand, and analyse German literary texts, films, and a range of print, visual and digital media in the context of German-speaking cultures;"
GERM-MAJ,4,demonstrate an understanding of the modern history of the German-speaking countries; and
GERM-MAJ,5,demonstrate intercultural awareness.
GSDA-MAJ,1,"demonstrate
 sound knowledge of the technologies and techniques, processes, 
terminology, forms and materials of gold & silversmithing practice."
GSDA-MAJ,2,"develop and evaluate design concepts and processes by thinking creatively, critically and reflectively."
GSDA-MAJ,3,"respond
 to the demands of a project, either independently or collaboratively, 
by applying skills and knowledge to the design, visualisation and making
 of creative works."
GSDA-MAJ,4,"interpret, communicate and present ideas, problems and arguments in modes suited to a range of audiences."
GSDA-MAJ,5,"recognise
 and reflect on social, ethical, cultural, technological, and 
environmental issues of creative practice and design considering local 
and international perspectives."
GSDA-MAJ,6,identify and apply occupational health and safety principles within a workshop environment.
GSEC-MAJ,0,nil
HBIO-MAJ,1,Apply their conceptual knowledge of biological principles and processes to the study of human health and disease.
HBIO-MAJ,2,"Solve problems and critically analyse issues using interdisciplinary approaches to the study of human structure and function at molecular, cellular, and systems levels."
HBIO-MAJ,3,"Explain how biology is an evidence-based discipline involving observation, experimentation and hypothesis testing and how it relates to other scientific disciplines."
HBIO-MAJ,4,Develop and implement experimental strategies to investigate different biological and experimental systems and analyse and present results of these investigations.
HBIO-MAJ,5,"Critically assess biological information and apply it to theoretical, experimental and professional contexts."
HBIO-MAJ,6,"Employ their collaborative and independent educational experiences of laboratory, project and course work in other contexts."
HBIO-MAJ,7,Clearly communicate biological processes and principles to both science literate and non-science literate audiences.
HBIO-MAJ,8,"Recognise how biology contributes to resolving ethical, social, medical and environmental issues and the expectations this places on their professional practice."
HCCC-MAJ,1,Identify and describe contemporary issues and challenges in human-centred and creative computing
HCCC-MAJ,2,Synthesise knowledge of human-centred and creative computing systems and their social context to address problems
HCCC-MAJ,3,Design and develop human-centred and creative technologies
HCCC-MAJ,4,Apply theoretical frameworks and research techniques to evaluate and critique human-centred and creative computing systems
HIND-MAJ,1,Demonstrate an understanding of how the Indian cultural traditions of Hindi speakers impact communication in Hindi and the ways in which the language and culture are linked in discourse in Hindi.
HIND-MAJ,2,Write in Hindi with a full understanding of Hindi grammar and the ways in which different genres of Hindi use different registers of vocabulary drawn from diverse sources.
HIND-MAJ,3,"Engage with media, such as spoken word broadcasts, television and the cinema and analyse the contents and speak and discuss with others their understandings of Hindi media."
HIND-MAJ,4,"Read, understand and discuss Hindi texts such as newspapers, magazines, and modern Hindi literary texts."
HIND-MAJ,5,Express themselves confidently in spoken and written Hindi in informal and formal registers of the language that reflect Hindi's shared heritage of vocabularies drawn from Sanskrit and Urdu.
HIST-MAJ,1,demonstrate understanding of multiple periods or cultures of the past;
HIST-MAJ,2,demonstrate understanding of key conceptual approaches to interpreting the past;
HIST-MAJ,3,"examine historical issues by undertaking research, and analysing evidence, according to the methodological and ethical conventions of the discipline;"
HIST-MAJ,4,"construct an evidence-based argument or narrative in audio, digital, oral, visual or written form; and"
HIST-MAJ,5,identify and reflect critically on the knowledge and skills developed in their study of History and their relationship to the contemporary world.
HMRT-MAJ,1,"identify, discuss and analyse the key moments, issues and debates in the emergence of the contested concept of human rights;"
HMRT-MAJ,2,"identify and appraise the differing applications
  of human rights in theory, law and practice;"
HMRT-MAJ,3,"explain and assess the major contemporary
  theoretical debates within the human rights discourse; and"
HMRT-MAJ,4,recognise and assess the intersection between theories of human rights and the application of human rights standards in practice.
HUEB-MAJ,1,"explain the processes of natural selection, adaptation and speciation that underpin the evolution of animals and humans;"
HUEB-MAJ,2,"explain the characteristics of humans, including intelligence, language, culture, morphology and behaviour, and place those in the context of our place in the animal kingdom;"
HUEB-MAJ,3,interpret and discuss hypotheses as to how and why uniquely human adaptations initially evolve; and
HUEB-MAJ,4,critically evaluate and propose hypotheses about the future directions of human evolution on the basis of existing evolutionary theory and the selective factors acting on humans.
ICOM-MAJ,1,"demonstrate an understanding of the nature of the complex and multifaceted relations between communication, culture, language and identity;"
ICOM-MAJ,2,"demonstrate an understanding of the limits of translatability of key concepts across languages, and the implications of these limits for international communication;"
ICOM-MAJ,3,"analyse cultural assumptions underlying expressions such as â€œthe ideals of freedom, democracy, and the rule of laws (Obama 2006: p. 284) and explain their linguistic underpinnings;"
ICOM-MAJ,4,explain the sources of miscommunication between speakers of different linguistic and cultural backgrounds who communicate using English as a lingua franca;
ICOM-MAJ,5,demonstrate an understanding of potential sources of miscommunication within multilingual and multi-cultural societies such as Australia; and
ICOM-MAJ,6,communicate effectively in another language in many contexts and understand the issues that can arise in international communication due to linguistic differences.
INDN-MAJ,1,Recogniseand produce the full set of standard Indonesian phonemes and use patterns ofstress and intonation.
INDN-MAJ,2,"Recogniseand produce phrase and sentence structures that enable them to converse andwrite extended passages on a wide range of non-technical topics, and to read arange of authentic print media texts with sparing use of a dictionary."
INDN-MAJ,3,Use anactive vocabulary of around 2500 words.
INDN-MAJ,4,"Converse andwrite on a wide range of everyday topics as well as in contexts such asdiscussion of marriage laws, forest conservation, urbanisation, languagepolitics, and economic disparity."
INDN-MAJ,5,"Demonstratea cultural understanding of Indonesian perceptions or practices regarding suchtopics as: de facto relationships, punishment for drug offences, internalmigration, language prestige and language choice, and working abroad."
INDS-MAJ,1,Understand and evaluate historical and current events and developments that have shaped the South Asian subcontinent and contemporary India.
INDS-MAJ,2,Identify and critique the contemporary socio-cultural and political systems of India.
INDS-MAJ,3,Analyse the global significance of events and developments in India and across the region.
INDS-MAJ,4,Understand the processes and disciplinary approaches through which current knowledge about Indian and South Asian Studies has developed.
INDS-MAJ,5,Effectively argue and communicate about issues of regional cooperation and unity in the context of tensions in and among South Asia's diverse traditions.
INFS-MAJ,0,nil
,0,nil
INSC-MAJ,0,nil
INST-MAJ,1,"Understand and evaluate historical and current events and developments that have shaped Indonesia,"
INST-MAJ,2,"Identify and critique the contemporary socio-cultural and political systems of Indonesia,"
INST-MAJ,3,"Analyse developments in Indonesia in their regional and global contexts,"
INST-MAJ,4,Understand the processes and disciplinary approaches through which current knowledge about Indonesian studies has developed.
INSY-MAJ,0,nil
INTB-MAJ,1,"Review, analyse, consolidate and synthesise international business knowledge;"
INTB-MAJ,2,Demonstrate a broad understanding of international business knowledge with depth in some areas;
INTB-MAJ,3,Exercise critical thinking and judgement in identifying and solving problems with intellectual independence;
INTB-MAJ,4,"Present a clear, coherent and independent exposition of international business knowledge and ideas."
IREL-MAJ,1,identify the core concepts and theories that dominate global politics in the 21st century;
IREL-MAJ,2,have a thorough understanding of the historical development of the global system;
IREL-MAJ,3,examine the contemporary challenges facing the global system and evaluate the policies implemented to address them;
IREL-MAJ,4,"identify the role that people, states, ideas, and institutions play in shaping the international political economy;"
IREL-MAJ,5,understand Australia's role in global politics; and
IREL-MAJ,6,reflect critically on the knowledge and skills developed in their study of International Relations.
ISCK-MAJ,1,"Demonstrate an understanding of Australian and global Indigenous history and culture, policies pertaining to Indigenous peoples, and the application of Indigenous knowledges in a scientific context."
ISCK-MAJ,2,Demonstrate an understanding of the importance of protocols for protecting Indigenous knowledges in the sciences and how to build these into project and research design.
ISCK-MAJ,3,Articulate key approaches for meaningful and reciprocal engagement with Indigenous peoples and communities through the development of cultural awareness and sensitivity.
ISCK-MAJ,4,"Critically examine the relationship between Indigenous knowledges and modern science, including their similarities and differences."
ITAL-MAJ,1,communicate proficiently and confidently in Italian;
ITAL-MAJ,2,identify the structure and uses of Italian;
ITAL-MAJ,3,"demonstrate an understanding of the cultural and linguistics aspects of
 Italian language and societies and their socio-historical context;"
ITAL-MAJ,4,"construct a schema of the connections between the Italian language and
 its geographical, social and cultural origins; and"
ITAL-MAJ,5,recognise the importance of intercultural communication.
JPLN-MAJ,1,"Collect, organize and analyze linguistic dataUnderstand and analyze the link between language and various dimensions of culture."
JPLN-MAJ,2,Understand the social functions of language and the roles they play in culture.
JPLN-MAJ,3,Form hypotheses about Japanese language structure/language use and test those hypotheses against new data.
JPLN-MAJ,4,"Demonstrate a deep understanding of processes of language change and variation, and the role of language in reflecting and constructing social identities."
JPLN-MAJ,5,Demonstrate a knowledge if issues in Japanese language policy and be able to take a role in the discussion of such issues
JPNS-MAJ,1,Express themselves confidently  both verbally and in writing in modern Japanese in a variety of settings.
JPNS-MAJ,2,Recognise and use a broad vocabulary of over 1000 kanji characters and relevant expressions.
JPNS-MAJ,3,Demonstrate independent reading and listening skills to engage with real-world materials with the aid of a dictionary.
JPNS-MAJ,4,"Demonstrate the appropriate linguistic skills to respond spontaneously in both speaking and writing to contemporary issues, to state opinions, compose formal essays, and make presentations at a sophisticated level."
JPNS-MAJ,5,"Confidently use polite, neutral or informal registers, appropriate to the genre and the audience."
JPNS-MAJ,6,"Demonstrate an understanding of socio-cultural issues in past and present Japanese society, including such topics as gender issues, social structures, consumer societies, traditional arts and crafts, and Japan's position in the world."
JPST-MAJ,1,"Understand and evaluate historical and current events and developments that have shaped Japan,"
JPST-MAJ,2,"Identify and critique the contemporary socio-cultural and political systems of Japan,"
JPST-MAJ,3,"Analyse developments in Japan in their regional and global contexts,"
JPST-MAJ,4,Understand the processes and disciplinary approaches through which current knowledge about Japanese studies has developed.
KORE-MAJ,1,Recognise and pronounce all consonants and vowel sounds of Korean.
KORE-MAJ,2,Read and write the Korean alphabet and its consonant clusters with accuracy.
KORE-MAJ,3,"Summarise, analyse, and evaluate texts, with limited use of a dictionary, in such authentic media as television and print news, magazines, films, and literature."
KORE-MAJ,4,"Express ideas using grammatically and stylistically appropriate language to the situation to give explanations, make academic presentations, evaluate other's opinions, and confidently engage in debates."
KORE-MAJ,5,"Communicate confidently in speech and writing, in polite, neutral or informal registers, on such topics as interpersonal relationships, cultural events, popular culture, politics and history."
KORE-MAJ,6,"Demonstrate an understanding of cultural practices such as national festivals, customs and folk traditions; cultural and linguistic regional differences in Korea; cultural communication practices in interpersonal relationships in formal and informal settings."
KORS-MAJ,1,"Understand and evaluate historical and current events and developments that have shaped Korea,"
KORS-MAJ,2,"Identify and critique the contemporary socio-cultural and political systems of Korea,"
KORS-MAJ,3,"Analyse developments in Korea in their regional and global contexts,"
KORS-MAJ,4,Understand the processes and disciplinary approaches through which current knowledge about Korean studies has developed.
,0,nil
LATN-MAJ,1,"consolidate and extend your command of Latin grammar and vocabulary;
  to enable you to increase your ability to read Latin with pleasure and
  understanding: some texts at sight, any texts with the aid of dictionaries,
  grammars, translations, and textual notes;"
LATN-MAJ,2,"develop skills in reading Latin from the study of simplified texts to
  focussed examination of foundational texts of the Greco-Roman world;"
LATN-MAJ,3,study these texts against their historical and cultural background; and
LATN-MAJ,4,"promote approaches and methodologies for critical thinking not only
  about the ancient sources but also the discourse of our own world."
LING-MAJ,1,"demonstrate a depth and breadth of insight into the relationship between language, society and culture, and into the role of language in human sociality;"
LING-MAJ,2,"carry out analysis of the linguistic systems of diverse languages, including the capacity for rigorous, in-depth analysis in at least two sub-disciplines of linguistics;"
LING-MAJ,3,"use a range of linguistic methods and theories to investigate how language is used in different contexts, and how it varies across people, places and times;"
LING-MAJ,4,critically examine beliefs and ideologies about language use and language diversity;
LING-MAJ,5,"identify challenges or issues in current knowledge, theories and/or methods of at least one area of linguistics; and"
LING-MAJ,6,communicate clearly and knowledgeably about language-related topics to academic and general audiences.
MARK-MAJ,1,"Demonstrate knowledge of fundamental marketing concepts, theories and their applications with cognitive insight, technical analysis, creativity and strategic thinking"
MARK-MAJ,2,"Apply critical and analytical thinking through marketing knowledge to address marketing problems through evidence led decisions based on conceptual frameworks, market data and statistical analysis"
MARK-MAJ,3,Present concise and coherent exposition of discipline based marketing knowledge and skills
MARK-MAJ,4,"Convey marketing ideas in an appropriate language for business, stakeholders, and the wider public audiences"
MARS-MAJ,1,Overview the advancement of the discipline and how that has influenced modern Marine Science.
MARS-MAJ,2,"Have an understanding of the evolution of the oceans, and the organisms contained within, from a molecular to the global scale."
MARS-MAJ,3,Quantitatively analyse marine environments using a variety of observations and techniques.
MARS-MAJ,4,"Draw on diverse learning environments including field, laboratory and classroom settings encompassing individual and group learning."
MARS-MAJ,5,"Perform process-oriented, multidisciplinary studies to critically evaluate hypotheses and models on how our oceans and the life within operate."
MARS-MAJ,6,"Write scientific reports and communicate efficiently with university staff, peer students and the wider community on Marine Science topics."
MARS-MAJ,7,Conduct themselves in a way that reflects professional expectations within the discipline.
MATH-MAJ,0,nil
MECA-MAJ,1,"describe and explain the socio-cultural, religious, political and economic structures and traditions of the Middle East and Central Asia as well as their historical development;"
MECA-MAJ,2,"describe contemporary and historical relationships between Middle East and Central Asian states, and with extra-regional states;"
MECA-MAJ,3,analyse contemporary political and social events and developments which continue to shape the Middle East and Central Asia and evaluate their global significance; and
MECA-MAJ,4,critique contemporary and historical events from a cross-cultural perspective.
MECO-MAJ,0,nil
MFIN-MAJ,1,Demonstrate mastery of mathematical concepts and techniques to the level of advanced Analysis.
MFIN-MAJ,2,"Demonstrate mastery of the concepts and techniques of of Probability, Statistics, and Stochastic processes."
MFIN-MAJ,3,Demonstrate mastery of the ideas and concepts of Mathematical Finance.
MFIN-MAJ,4,Apply concepts and techniques from mathematics and statistics to finance problems.
MFIN-MAJ,5,Obtain a deep understanding of Finance in the context of advanced mathematical frameworks.
MFIN-MAJ,6,"Think clearly, sequentially and logically, as demonstrated by the critical analysis of quantitative problems, in particular finance problems."
MFIN-MAJ,7,"Appreciate that mathematics and statistics is embedded in everyday life through its influence in various fields, in particular in finance."
MFIN-MAJ,8,"Draw on discipline based experiences of working collaboratively, communicating mathematical and economics knowledge and acting professionally and responsibility in further study, or professional pursuits."
MGMT-MAJ,1,"Review, analyse, consolidate and synthesise organisational knowledge;"
MGMT-MAJ,2,Demonstrate a broad understanding of management knowledge with depth in some areas;
MGMT-MAJ,3,Exercise critical thinking and judgement in identifying and solving problems with intellectual independence;
MGMT-MAJ,4,"Present a clear, coherent and independent exposition of management knowledge and ideas."
MMOD-MAJ,1,"Apply mathematical concepts,     including Calculus, Linear Algebra and Differential Equations to analyse     specific problems and identify the appropriate mathematics to realise a     solution."
MMOD-MAJ,2,Use computer programming and     statistical analysis skills to efficiently model systems.
MMOD-MAJ,3,"Recognise the connections     between mathematics and other disciplines, and how mathematical ideas are     embedded in other contexts."
MMOD-MAJ,4,Represent real-world systems     from science and technology in a mathematical framework.
MMOD-MAJ,5,"Employ appropriate methods to     analyse, solve and evaluate the performance of mathematical models."
MMOD-MAJ,6,Identify relevant disciplinary     material and sources to pursue independent mathematical learning and     deepen  understanding of the behaviour of a system reasoning.
MMOD-MAJ,7,Relate the behaviour of the     output of the mathematical model to the underlying physical or conceptual     model of interest.
MMOD-MAJ,8,Extend their experiences of     working both independently and collaboratively within the discipline to     other contexts.
MMOD-MAJ,9,Relate professional and     disciplinary information and ideas to varied audiences in effective and     appropriate ways.
MMOD-MAJ,10,Reflect the professional     standards of the discipline and of science in their own work and practice.
MTEC-MAJ,1,"Summarise key historical, theoretical, cultural and praxial conceptspertaining to music technology."
MTEC-MAJ,2,"Complete professional recording and production sessions for multitrackrecordings, field recordings and online media."
MTEC-MAJ,3,"Theorise the future theoretical and practical implications ofdigitisation on the performance, composition and recording of music."
MTEC-MAJ,4,"Create digital music files informed by a historical, theoretical,cultural and practical comprehension of the production, dissemination, economyand reception of music."
MTSY-MAJ,1,"apply systematic design-oriented engineering principles, including those aided by mathematical modelling and computer simulation, to analyse and design mechatronic systems, including robotics and control systems and subsystems."
MTSY-MAJ,2,"evaluate solutions to engineering problems in mechatronics and autonomous systems, by selecting and applying theoretical principles and methods from mathematics, sciences, computing, systems theory, and signal processing."
MTSY-MAJ,3,"demonstrate proficiency with advanced knowledge and tools in mechatronics systems, including control, robotics, microprocessors, optimisation theory, dynamics, and physics based artificial intelligence."
MTSY-MAJ,4,"identify and compare current developments and emerging trends in contemporary and prospective mechatronic systems, such as advanced robotics, autonomous systems, embedded systems, and intelligent systems."
MTSY-MAJ,5,use disciplinary knowledge and effective communication skills to critically appraise self and others' engineering designs and solutions.
MTSY-MAJ,6,undertake critical reflection and independent research in mechatronics systems.
MTSY-MAJ,7,"work effectively and proactively within teams, demonstrating autonomy, professional conduct, well developed judgement, adaptability and responsibility to achieve engineering outcomes at a high standard."
MUSC-MAJ,1,"understand the languages, forms, materials, and techniques of a wide range of musics;"
MUSC-MAJ,2,"recognise and reflect critically on social, cultural and ethical issues, and apply local and, international perspectives to practice in music;"
MUSC-MAJ,3,"develop and evaluate musical, cultural, and artistic ideas, concepts and processes by thinking creatively, critically and reflectively, and through engaging with scholarship and research; and"
MUSC-MAJ,4,"communicate sophisticated ideas, problems and arguments to do with music and the arts in modes suited to a range of audiences."
MUSY-MAJ,1,"Demonstrate high-level skills and knowledge of the
languages, forms, materials, and techniques of a wide range of musics;"
MUSY-MAJ,2,"Develop and evaluate musical, cultural, and artistic
ideas, concepts and processes by thinking creatively, critically and
reflectively, and through engaging with genuine scholarship and recent
research;"
MUSY-MAJ,3,"Interpret, communicate and present ideas, problems and
arguments to do with music and the arts in modes suited to a wide range of
audiences, informed by sophisticated inquiry and scholarship;"
MUSY-MAJ,4,"Recognise and reflect on complex social, cultural and
ethical issues, and apply local and international perspectives to practice in
music."
NAST-MAJ,1,Understand and evaluate historical and current events and developments that have shaped Northeast Asia.
NAST-MAJ,2,Identify and critique the contemporary socio-cultural and political systems of Northeast Asia.
NAST-MAJ,3,Analyse current debates relating to regional cooperation and unity in the context of tensions in traditions.
NAST-MAJ,4,Analyse the global significance of events and developments in Northeast Asia.
NAST-MAJ,5,Understand the processes and disciplinary approaches through which current knowledge about Northeast Asia Studies has developed.
PAST-MAJ,1,"Understand and evaluate historical and current events
 and developments that have shaped the Pacific,"
PAST-MAJ,2,"Identify and critique the contemporary socio-cultural
 and political systems of the Pacific,"
PAST-MAJ,3,"Analyse developments in the Pacific in their regional
 and global context,"
PAST-MAJ,4,"Understand the processes and disciplinary
 approaches through which current knowledge about the Pacific has developed."
PECO-MAJ,1,"Understand andevaluate the key concepts and theoretical frameworks in the study of peace andconflict, and critically apply these to important issues in the field;"
PECO-MAJ,2,"Engage inindependent research, employing appropriate research methods and quality data,to investigate problems related to the prevention, management and resolution ofarmed conflict;"
PECO-MAJ,3,Communicateeffectively and knowledgably on peace and conflict issues through both writtenand oral media;
PECO-MAJ,4,Demonstrate anunderstanding of the ethical implications of research and practice in the fieldof peace and conflict studies.
PERF-MAJ,1,demonstrate the specialist technical and cognitive skills involved in music performance; and
PERF-MAJ,2,critically reflect on creative decisions that emerge from their practice led research.
PERS-MAJ,1,"write texts in Farsi in the appropriate genre, withcorrect grammatical structures and thematic vocabulary relevant to the level ofthe student;"
PERS-MAJ,2,"read, comprehend and infer authors' meanings innewspapers, magazines, literary and critical texts written in Farsi;"
PERS-MAJ,3,"engage with authentic media such as Persian news,movies or music by analysing and evaluating their content;"
PERS-MAJ,4,communicate verbally in a variety of settings withproficient Farsi speakers; and
PERS-MAJ,5,identify and differentiate aspects and issues of thecultures and societies associated with the Farsi language.
PHIL-MAJ,1,"closely analyse and critique arguments in a wide variety of fields and contexts, which may include using formal logic;"
PHIL-MAJ,2,"develop cogent arguments and presentations, including engaging with detailed criticism of their ideas;"
PHIL-MAJ,3,apply complex abstract ideas to real-world phenomena in a wide variety of fields and contexts;
PHIL-MAJ,4,"recognise implicit assumptions in social, political, scientific, moral, and cultural arguments, and relate them to contested ideas and real-world scenarios; and"
PHIL-MAJ,5,describe various philosophical traditions and their history.
,0,nil
PHYS-MAJ,1,"Describe and explain the fundamental principles of physics, including those of: mechanics, electromagnetism, quantum mechanics, and thermal and statistical physics."
PHYS-MAJ,2,"Apply the fundamental principles of physics to solve problems, including those likely to be encountered in future careers. Such problems may involve ambiguity and uncertainty and require the application of multiple principles."
PHYS-MAJ,3,Integrate the fundamental principles of physics to describe and explain specialised areas of physics.
PHYS-MAJ,4,Describe and explain specific examples of how physics is applied to benefit people.
PHYS-MAJ,5,Describe critical experiments in the history of physics and explain how they led to revisions of our theoretical descriptions of nature.
PHYS-MAJ,6,"Use mathematical, computational and experimental skills to solve conceptual and quantitative problems in physics."
PHYS-MAJ,7,"Demonstrate skills including: equipment familiarity, data gathering, record keeping, data analysis, dealing with uncertainty, experiment design, and comparison with theory."
PHYS-MAJ,8,Analyse unfamiliar physical systems and provide order-of-magnitude estimates of quantities. This includes a knowledge of basic physical constants and key equations.
PHYS-MAJ,9,Be both creative and rigorous in the design and construction of scientific investigations of physical systems.
PHYS-MAJ,10,Effectively communicate physics based analyses to expert and non-expert audiences.
PHYS-MAJ,11,"Constructively criticise evidence, arguments and conclusions wherever they are encountered."
POLS-MAJ,1,demonstrate knowledge and understanding of the nature and significance of politics and governance;
POLS-MAJ,2,demonstrate knowledge and understanding of differences in political systems and the contexts in which they operate;
POLS-MAJ,3,"apply concepts and theories used in the study of political science to the analysis of interests, ideas, institutions and behaviour and to the evaluation of political phenomena; and"
POLS-MAJ,4,demonstrate knowledge of the different research methods used to investigate political phenomena and the ability to apply these methods.
PSTO-MAJ,1,Explain the fundamental concepts of probability theory and its position in modern statistical and mathematical sciences and applied contexts
PSTO-MAJ,2,Explain the fundamental concepts of stochastic processes in continuous time and their position in modern statistical and mathematical sciences and applied contexts
PSTO-MAJ,3,Solve complex problems relating to probability theory and stochastic processes in a variety of contexts
PSTO-MAJ,4,Use stochastic calculus in mathematical and financial problems
PSYC-MAJ,1,"Understand, apply, integrate and generate psychological knowledge in educational and professional contexts."
PSYC-MAJ,2,"Develop and engage in a range of skills and methods to identify, analyse, critique and respond to complex problems involving psychological processes."
PSYC-MAJ,3,"Systematically identify relevant psychological theory and concepts, relate these to appropriate methodologies and evidence, and draw appropriate conclusions."
PSYC-MAJ,4,"Apply appropriate psychological research methods, including statistical techniques, to evaluate data."
PSYC-MAJ,5,Communicate psychological concepts and results clearly and effectively in written and/or oral formats to diverse audiences.
PSYC-MAJ,6,Work and learn in both independent and collaborative ways with others to encompass diverse abilities and perspectives on psychological issues.
PSYC-MAJ,7,"Utilise psychological knowledge and skills for exercising personal, professional and social responsibility as a global citizen."
QBIO-MAJ,1,"Master the ideas and concepts of Calculus, Linear Algebra and Differential Equations and develop the ability to apply the acquired knowledge to analyse a specific problem and identify the mathematics that is required to find its solution."
QBIO-MAJ,2,Gain a basic understanding of the ideas and concepts of Probability and Statistics.
QBIO-MAJ,3,"Apply conceptual knowledge of biological principles and processes including evolution and diversity of organisms, inheritance, storage and utilisation of information and the structure and function of molecules, cells and biological systems, to a range of disciplinary and inter-disciplinary contexts."
QBIO-MAJ,4,"Design biological experiments, and analyse and interpret experimental results using appropriate quantitative methods."
QBIO-MAJ,5,"Demonstrate capacity for mathematical reasoning through analysing, proving and explaining concepts from bioinformatics and biological modelling."
QBIO-MAJ,6,"Describe and apply a variety of methods in bioinformatics and functional genomics, including scientific programming, interpret current literature in areas of bioinformatic practice and evaluate research methodology in the context of bioinformatic analysis of DNA sequence data."
QFIN-MAJ,1,"Recognise the important role of options, futures and other contingent claims in the financial markets."
QFIN-MAJ,2,Apply mathematical techniques for the pricing and hedging of contingent claims whilst demonstrating appreciation for the underlying assumptions and requirements for these techniques to be valid.
QFIN-MAJ,3,Communicate the principles and results using the language and conventions of the discipline.
QFIN-MAJ,4,"Apply the theory in practice through computer based modelling, in appropriate contexts."
QFIN-MAJ,5,Critically engage with and evaluate literature on the management and pricing of contingent claims.
QFIN-MAJ,6,"Work independently and collaboratively to collect, process, interpret pricing models and their outcomes."
QUEM-MAJ,1,"Demonstrate the applied mathematical skills necessary for environmental assessment, modelling and analysis."
QUEM-MAJ,2,"Understand the importance and implications of quantifying uncertainty in environmental assessment, modelling and analysis, particularly in risk management."
QUEM-MAJ,3,"Apply this knowledge and associated skills to a range of different environmental systems and problems, including identifying appropriate modelling approaches and adequate data to address specific issues, and critically evaluating model predictions."
QUEM-MAJ,4,"Write scientific reports and communicate efficiently with university staff, peer students and the wider community on aspects of quantitative environmental modelling and its applications."
QUEM-MAJ,5,Demonstrate conduct that reflects professional expectations within the discipline.
REEN-MAJ,1,"Think critically about natural resource and environmental management issues, and integrate information and construct logical, consistent and synthesised arguments about these issues."
REEN-MAJ,2,"Collect, analyse, interpret and present resource and environmental management data (including empirical field data, remotely sensed data and published literature) at a range of scales."
REEN-MAJ,3,Understand and contribute to the development and application of resource and environmental management techniques and policy in the Australian context.
REEN-MAJ,4,"Discuss the principles of managing natural resources and the environment with practitioners and stakeholders such as land holders, extension officers, consultants and policy makers."
REEN-MAJ,5,Conduct research into a variety of aspects of resource and environmental management.
RENE-MAJ,1,apply wind and solar energy resource mapping and modelling methods to design wind and solar farms.
RENE-MAJ,2,"evaluate solutions to engineering problems in the design and integration of renewable energy and energy storage into the electricity grid by selecting and applying theoretical principles and methods from mathematics, physics, electrical, electronic and control engineering."
RENE-MAJ,3,"demonstrate proficiency with advanced knowledge and tools in the field of renewable energy engineering, including knowledge of power systems and embedded systems, and tools for wind and solar energy mapping."
RENE-MAJ,4,"identify and compare current developments and emerging trends in the design, integration, and operation of renewable and distributed energy generation, as well as renewables-based industrial processes and transport."
RENE-MAJ,5,use disciplinary knowledge and effective communication skills to critically appraise self and others' engineering designs and solutions.
RENE-MAJ,6,undertake critical reflection and independent research in the field of renewable energy engineering.
RENE-MAJ,7,"work effectively and proactively within teams, demonstrating autonomy, professional conduct, well developed judgement, adaptability and responsibility to achieve engineering outcomes at a high standard."
RSCC-MAJ,0,nil
SANS-MAJ,1,"Read a variety of literary genres, including Epic Sanskrit, courtly poetry and drama, smoothly and accurately, and chant or recite the root text in an appropriate manner."
SANS-MAJ,2,Translate the texts at hand with a high level of competence in using a Sanskrit-English dictionary.
SANS-MAJ,3,"Demonstrate thorough understanding of the advanced grammatical structures employed in Sanskrit, and demonstrate expertise in using reference grammars."
SANS-MAJ,4,"Appraise the linguistic registers of the root texts, and their place among the various genres of Sanskrit literature, and reflect this in appropriate English translation. Respond creatively to the root text in an appropriate medium."
SANS-MAJ,5,"Demonstrate an ability to interpret commentarial texts, showing an understanding of commentarial techniques and vocabulary."
SANS-MAJ,6,Demonstrate knowledge of the social and historical contexts of text at hand.
